
NVIDIA Corporation,Last: 174.11,Change:  2.45
Date: 9 September 2025 at 20:13 GMT-4,Bid: 174.1,Ask: 174.14,Size: 1*1,"Volume: 154,246,593"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 17 2027,NVDA271217C00095000,88.55,-1.25,87.35,92.6,10,0.4348,0.9188,0.0014,7468,95.00,NVDA271217P00095000,6.7,-0.15,6.55,6.7,27,0.4437,-0.0934,0.0015,6073
Fri Dec 17 2027,NVDA271217C00100000,87.08,0.955,85.45,87.45,33,0.4301,0.907,0.0016,15772,100.00,NVDA271217P00100000,7.64,-0.26,7.6,8,324,0.4393,-0.1057,0.0017,29843
Fri Dec 17 2027,NVDA271217C00105000,81.25,-1.25,83.2,88.4,6,0.426,0.8944,0.0017,7517,105.00,NVDA271217P00105000,8.89,-0.16,8.65,8.8,337,0.4338,-0.1191,0.0018,3103
Fri Dec 17 2027,NVDA271217C00110000,77.9,-1.25,79.8,81.95,65,0.4226,0.8811,0.0019,11175,110.00,NVDA271217P00110000,10.05,-0.225,9.85,10,1240,0.4296,-0.1334,0.002,13169
Fri Dec 17 2027,NVDA271217C00115000,76.25,0.4,76.55,77.1,9,0.42,0.8672,0.002,3773,115.00,NVDA271217P00115000,11.45,-0.175,11.15,11.35,143,0.4258,-0.1484,0.0022,6595
Fri Dec 17 2027,NVDA271217C00120000,73.29,0.64,71.8,74.75,11,0.4163,0.8526,0.0022,9210,120.00,NVDA271217P00120000,12.85,-0.225,12.6,12.75,19,0.422,-0.1639,0.0024,9789
Fri Dec 17 2027,NVDA271217C00125000,70.51,1.01,70.05,72.2,37,0.4128,0.8374,0.0024,6811,125.00,NVDA271217P00125000,14.4,-0.225,14.1,14.3,104,0.4184,-0.1805,0.0026,5148
Fri Dec 17 2027,NVDA271217C00130000,67,0.475,67.1,67.7,42,0.4114,0.8217,0.0025,7838,130.00,NVDA271217P00130000,15.86,-0.415,15.75,16,11,0.4157,-0.1976,0.0027,6295
Fri Dec 17 2027,NVDA271217C00135000,64.05,0.5,64.5,66.2,26,0.4106,0.8055,0.0027,5921,135.00,NVDA271217P00135000,17.65,-0.425,17.5,17.7,13,0.4124,-0.2153,0.0029,2832
Fri Dec 17 2027,NVDA271217C00140000,61.6,0.85,61.4,61.9,23,0.4063,0.7889,0.0028,8214,140.00,NVDA271217P00140000,19.6,-0.375,19.35,19.6,1707,0.4099,-0.2335,0.0031,15153
Fri Dec 17 2027,NVDA271217C00145000,57.65,-0.425,58.55,59.35,38,0.4038,0.772,0.003,7658,145.00,NVDA271217P00145000,21.41,-0.54,21.3,21.5,516,0.4067,-0.2523,0.0033,1571
Fri Dec 17 2027,NVDA271217C00150000,56.37,0.92,55.95,56.5,261,0.4018,0.7547,0.0031,16646,150.00,NVDA271217P00150000,23.75,-0.3,23.3,23.6,78,0.404,-0.2715,0.0034,3400
Fri Dec 17 2027,NVDA271217C00155000,53.3,0.425,53.45,54,142,0.3996,0.7372,0.0032,14104,155.00,NVDA271217P00155000,25.82,-0.405,25.55,25.75,12,0.4021,-0.2912,0.0036,3496
Fri Dec 17 2027,NVDA271217C00160000,51.35,0.85,51,51.75,79,0.3978,0.7194,0.0033,5917,160.00,NVDA271217P00160000,28.14,-0.46,27.85,28.1,494,0.4,-0.3112,0.0038,4495
Fri Dec 17 2027,NVDA271217C00165000,49.1,0.975,48.7,49.4,48,0.396,0.7015,0.0034,3565,165.00,NVDA271217P00165000,30.47,-0.53,29.7,31.1,44,0.3979,-0.3316,0.0039,2606
Fri Dec 17 2027,NVDA271217C00170000,46.8,0.875,46.55,46.95,538,0.3951,0.6836,0.0036,7291,170.00,NVDA271217P00170000,33.55,0.05,32.4,33.05,6,0.3958,-0.3522,0.0041,4800
Fri Dec 17 2027,NVDA271217C00175000,44.7,0.925,44.35,44.8,30,0.3925,0.6656,0.0036,5264,175.00,NVDA271217P00175000,35.45,-0.75,35.4,35.65,149,0.3941,-0.373,0.0042,3345
Fri Dec 17 2027,NVDA271217C00180000,42.25,0.5,42.25,42.75,162,0.3915,0.6476,0.0037,8005,180.00,NVDA271217P00180000,38.4,-0.575,38.05,38.8,35,0.3922,-0.3937,0.0043,3123
Fri Dec 17 2027,NVDA271217C00185000,39.49,-0.31,40.3,40.75,25,0.3901,0.6296,0.0038,5904,185.00,NVDA271217P00185000,41.54,-0.26,39.25,42.75,11,0.3905,-0.4152,0.0045,1109
Fri Dec 17 2027,NVDA271217C00190000,38.6,0.65,38.35,38.9,65,0.3887,0.6118,0.0039,7636,190.00,NVDA271217P00190000,44.61,-0.165,43.35,44.65,8,0.3889,-0.4364,0.0046,1405
Fri Dec 17 2027,NVDA271217C00195000,36.8,0.65,36.65,37.15,23,0.3881,0.5942,0.0039,7919,195.00,NVDA271217P00195000,47.64,-0.185,46.9,47.15,20,0.3872,-0.4575,0.0047,657
Fri Dec 17 2027,NVDA271217C00200000,35,0.55,34.95,35.3,399,0.3869,0.5767,0.004,45440,200.00,NVDA271217P00200000,50.65,-0.325,50,50.35,9,0.3861,-0.4788,0.0048,4301
Fri Dec 17 2027,NVDA271217C00210000,31.87,0.57,31.75,32.2,82,0.3853,0.5426,0.004,20680,210.00,NVDA271217P00210000,57.86,0.285,56.5,56.95,13,0.3837,-0.521,0.005,1941
Fri Dec 17 2027,NVDA271217C00220000,29.05,0.575,28.55,29.2,523,0.3836,0.5096,0.0041,8386,220.00,NVDA271217P00220000,64.89,0.365,63.4,63.8,3,0.3815,-0.5627,0.0052,1814
Fri Dec 17 2027,NVDA271217C00230000,26.4,0.525,25.9,26.55,402,0.3824,0.478,0.0041,23992,230.00,NVDA271217P00230000,72.43,0.58,70.65,71.1,5,0.3797,-0.6039,0.0054,464
Fri Dec 17 2027,NVDA271217C00240000,23.82,0.295,23.45,24.15,334,0.3811,0.4478,0.004,5768,240.00,NVDA271217P00240000,80.07,0.595,73,83,58,0.3791,-0.6443,0.0055,1062
Fri Dec 17 2027,NVDA271217C00250000,21.83,0.405,21.4,22,134,0.3803,0.4192,0.004,7447,250.00,NVDA271217P00250000,87.3,0,86.1,91,0,0.3764,-0.6842,0.0056,663
Fri Dec 17 2027,NVDA271217C00260000,19.85,0.325,19.45,20.1,244,0.3799,0.3922,0.0039,2519,260.00,NVDA271217P00260000,95.48,0,93.35,94.8,0,0.3683,-0.7236,0.0058,523
Fri Dec 17 2027,NVDA271217C00270000,18.09,0.265,18.05,18.35,68,0.3794,0.3668,0.0039,14612,270.00,NVDA271217P00270000,104.34,0,101.75,108,0,0.366,-0.7618,0.0059,1539
Fri Dec 17 2027,NVDA271217C00280000,15.73,-0.545,16.45,16.85,519,0.3792,0.3428,0.0038,4130,280.00,NVDA271217P00280000,113.04,0,110.5,117,0,0.3618,-0.7989,0.0061,368
Fri Dec 17 2027,NVDA271217C00290000,14.37,-0.505,13.55,16.8,533,0.3791,0.3205,0.0037,2065,290.00,NVDA271217P00290000,121.6,0,119.45,126,0,0.3575,-0.8364,0.0062,369
Fri Dec 17 2027,NVDA271217C00300000,13.7,0.1,13.75,14.05,92,0.3789,0.2996,0.0036,8047,300.00,NVDA271217P00300000,134.21,0,128.55,130.75,0,0.3464,-0.8729,0.0063,429
Fri Dec 17 2027,NVDA271217C00310000,12.7,0.225,12.6,12.85,46,0.3791,0.28,0.0034,2084,310.00,NVDA271217P00310000,140.83,-0.02,137.9,144,8,0,-0.9078,0.0065,341
Fri Dec 17 2027,NVDA271217C00320000,11.4,-0.025,11.6,11.8,539,0.3793,0.2619,0.0033,6124,320.00,NVDA271217P00320000,150,0,146.2,151.75,0,0,-0.9356,0.0057,688
Fri Dec 17 2027,NVDA271217C00330000,10.65,0.125,10.65,10.85,138,0.3795,0.2449,0.0032,2692,330.00,NVDA271217P00330000,150.35,0,155.3,162.35,0,0,-0.9588,0.0045,504
Fri Dec 17 2027,NVDA271217C00340000,9.85,0.175,9.8,9.95,106,0.38,0.2292,0.0031,3099,340.00,NVDA271217P00340000,169.1,0,164.2,174,0,0,-0.9764,0.0026,1000
Fri Dec 17 2027,NVDA271217C00350000,8.65,-0.275,9,9.2,241,0.3801,0.2146,0.003,2836,350.00,NVDA271217P00350000,168.8,0,176.35,181.7,0,0,-0.9888,0.0012,0
Fri Dec 17 2027,NVDA271217C00360000,8.4,0.15,8.3,8.45,248,0.3802,0.201,0.0028,4848,360.00,NVDA271217P00360000,178.72,0,186.25,191.8,0,0,-0.9973,0.0003,0
